"Quality","Country","Code","Year","Gini","Quntile 1","Quntile 2","Quntile 3","Quntile 4","Inc","Pers","Gross","Cov1","Cov2","Source1","Source2","Q","Other"
"ps","Australia","AUS",1986,43,,,,,"I","H","G","Nat'l",,"Sunders 1993","ABS","ps",
"ps","Australia","AUS",1989,42,,,,,"I","H","G","Nat'l",,"Sunders 1993",,"ps",
"tax","Australia","AUS",1962,41.6,,,,,"I","H",,"Nat'l","Tax","Cromwell 1977",,"tax",
"tax","Australia","AUS",1967,31.2,,,,,"I","H","N","Nat'l","Tax","Sawyer 1976",,"tax",
"nn","Austria","AUT",1987,28.9449,0.0724,0.2117,0.3989,0.6361,"I","H","N","Nat'l",,"LIS Data base",,"nn",
"nn","Austria","AUT",1987,22.7316,0.1006,0.2526,0.4415,0.6721,"I","Pe","N","Nat'l",,"LIS Data base",,"nn",
"wg","Austria","AUT",1970,29.3,0.068,0.202,0.398,0.634,"I","P","G","Nat'l","IR","Guger 1989",,"wg",
"wg","Austria","AUT",1976,31.2,0.066,0.202,0.383,0.617,"I","P","G","Nat'l","IR","Guger 1989",,"wg",
"wg","Austria","AUT",1981,31.4,0.066,0.204,0.381,0.614,"I","P","G","Nat'l","IR","Guger 1989",,"wg",
"wg","Austria","AUT",1987,31.6,0.069,0.211,0.382,0.612,"I","P","G","Nat'l","IR","Guger 1989",,"wg",
"accept","Bahamas","BHS",1970,48.41,0.0288,0.1229,0.2693,0.4942,"I","H","G","Nat'l",,"DSCO",,"good",
"accept","Bahamas","BHS",1973,45.35,0.0378,0.1233,0.2941,0.5278,"I","H","G","Nat'l",,"UN 1981","BLFID","good",
"accept","Bahamas","BHS",1975,54.09,0.0304,0.0908,0.2073,0.438,"I","H","G","Nat'l",,"UN 1981","BLFID","good",
"accept","Bahamas","BHS",1977,50.3,,,,,"I","H","G","Nat'l",,"UN 1985","BLFID","good",
"accept","Bahamas","BHS",1979,43.1,0.042,0.145,0.3,0.532,"I","H","G","Nat'l",,"UN 1985","BLFID","good",
"accept","Bahamas","BHS",1986,48.09,0.0305,0.1049,0.248,0.5114,"I","H","G","Nat'l",,"BDS-LFHIR",,"good",
"accept","Bahamas","BHS",1988,40.64,0.0355,0.152,0.3192,0.5739,"I","H","G","Nat'l",,"BDS-LFHIR",,"good",
"accept","Bahamas","BHS",1989,44.54,0.0303,0.1207,0.2766,0.5232,"I","H","G","Nat'l",,"BDS-LFHIR",,"good",
"accept","Bahamas","BHS",1991,41.83,0.0389,0.1377,0.3279,0.5609,"I","H","G","Nat'l",,"BDS-LFHIR",,"good",
"accept","Bahamas","BHS",1992,41.86,0.0318,0.1333,0.3346,0.5724,"I","H","G","Nat'l",,"BDS-LFHIR",,"good",
"accept","Bahamas","BHS",1993,45.29,0.0354,0.1166,0.2963,0.532,"I","H","G","Nat'l",,"BDS-LFHIR",,"good",
"ps","Bahamas","BHS",1970,46.74,,,,,"I","H","G","Nat'l",,"Jain 1975",,"ps",
"ps","Bahamas","BHS",1973,43.5,,,,,"I","H","G","Nat'l",,"Fields 1989","UN 1981","ps",
"ps","Bahamas","BHS",1975,52.3,,,,,"I","H","G","Nat'l",,"Fields 1989","UN 1981","ps",
"ps","Bahamas","BHS",1977,48.1,,,,,"I","H","G","Nat'l",,"Fields 1989","UN 1981","ps",
"ps","Bahamas","BHS",1979,62.5,,,,,"I","H","G","Nat'l",,"Fields 1989","UN 1985","ps",
"ps","Bahamas","BHS",1988,40.635,0.035,0.152,0.319,0.574,"I","H","G","Nat'l",,"BDS-LFHIR",,"ps",
"wg","Bahamas","BHS",1970,48.35,,,,,"I","P",,"Nat'l","IR","Jain 1975",,"wg",
"accept","Banglades","BGD",1963,37.31,0.069,0.179,0.333,0.555,"I","H","G","Nat'l",,"Jain 1975","BQSCEC","good",
"accept","Banglades","BGD",1967,34.2,0.079,0.196,0.354,0.577,"I","H","G","Nat'l",,"Jain 1975","BQSCEC","good",
"accept","Banglades","BGD",1973,36,0.07,0.183,0.334,0.562,"I","H","G","Nat'l",,"Bangladesh, SYB",,"good",
"accept","Banglades","BGD",1977,33.34,0.071,0.1933,0.3624,0.5915,"I","H","G","Nat'l",,"Bangladesh, SYB",,"good",
"accept","Banglades","BGD",1978,35.17,0.0736,0.1903,0.3507,0.5708,"I","H","G","Nat'l",,"Bangladesh, SYB",,"good",
"accept","Banglades","BGD",1981,39,0.0664,0.1736,0.3256,0.5468,"I","H","G","Nat'l",,"Bangladesh, SYB",,"good",
"accept","Banglades","BGD",1983,36,0.072,0.1895,0.3489,0.5662,"I","H","G","Nat'l",,"Bangladesh, SYB",,"good",
"accept","Banglades","BGD",1986,37,0.0699,0.1935,0.3442,0.5397,"I","H","G","Nat'l",,"Bangladesh, SYB",,"good",
"accept","Banglades","BGD",1989,28.85,0.095,0.228,0.398,0.614,"E","P",,"Nat'l",,"Chen et al. 1995",,"good",
"accept","Banglades","BGD",1992,28.27,0.0935,0.2286,0.401,0.6209,"E","P",,"Nat'l",,"WDR 1996",,"good",
"cs","Banglades","BGD",1963,37.31,,,,,"I","H","G","Nat'l",,"Jain 1975","Bergan 1967","cs",
"cs","Banglades","BGD",1967,17.3,,,,,"I","P","G","Nat'l",,"Jain 1975","BCSO","cs",
"cs","Banglades","BGD",1969,29,,,,,"I","H","G","Nat'l",,"Fields 1989","BQSCEC","cs","ARH"
"cs","Banglades","BGD",1973,39.19,,,,,"E","H",,"Nat'l",,"Bangladesh, SYB",,"cs",
"cs","Banglades","BGD",1973,36.78,,,,,"I","H","G","Nat'l",,"Bangladesh, SYB",,"cs",
"cs","Banglades","BGD",1973,36,,,,,"I","H","G","Nat'l",,"Fields 1989","BQSCEC","cs",
"cs","Banglades","BGD",1977,49.5,,,,,"I","H","G","Nat'l",,"Bangladesh, SYB",,"cs",
"cs","Banglades","BGD",1977,45,,,,,"I","H","G","Nat'l",,"Fields 1989","BQSCEC","cs",
"cs","Banglades","BGD",1981,37.07,,,,,"E","H",,"Nat'l",,"Bangladesh, SYB",,"cs",
"cs","Banglades","BGD",1981,39,,,,,"I","H","G","Nat'l",,"Fields 1989","BQSCEC","cs",
"cs","Banglades","BGD",1983,35,,,,,"I","H","G","Nat'l",,"Milanovic 1994",,"cs",
"cs","Banglades","BGD",1986,33.86,,,,,"E","H",,"Nat'l",,"Bangladesh, SYB",,"cs",
"nn","Banglades","BGD",1959,37.06,,,,,"I","H","G","Rural",,"Bangladesh, SYB",,"nn",
"nn","Banglades","BGD",1960,41.81,,,,,"I","H","G","Rural",,"Bangladesh, SYB",,"nn",
"nn","Banglades","BGD",1961,45,,,,,"I","H","G","Rural",,"Bangladesh, SYB",,"nn",
"nn","Banglades","BGD",1963,33,,,,,"I","H","G","Rural",,"Bangladesh, SYB",,"nn",
"nn","Banglades","BGD",1963,41,,,,,"I","H","G","Urban",,"Bangladesh, SYB",,"nn",
"nn","Banglades","BGD",1963,35.08,,,,,"I","H","G","Rural",,"Jain 1975","Bergan 1967","nn",
"nn","Banglades","BGD",1963,50.17,,,,,"I","H","G","Urban",,"Jain 1975","Bergan 1967","nn",
"nn","Banglades","BGD",1965,44.9,,,,,"I","H","G","Urban",,"Bangladesh, SYB",,"nn",
"nn","Banglades","BGD",1966,49.68,,,,,"I","H","G","Urban",,"Bangladesh, SYB",,"nn",
"nn","Banglades","BGD",1967,43.63,,,,,"I","H","G","Urban",,"Bangladesh, SYB",,"nn",
"nn","Banglades","BGD",1967,16.36,,,,,"I","P","G","Rural",,"Jain 1975","BCSO","nn",
"nn","Banglades","BGD",1967,33.39,,,,,"I","H","G","Rural",,"Jain 1975","BCSO","nn",
"nn","Banglades","BGD",1967,25.38,,,,,"I","P","G","Urban",,"Jain 1975","BCSO","nn",
"nn","Banglades","BGD",1967,39.9,,,,,"I","H","G","Urban",,"Jain 1975","BCSO","nn",
"nn","Banglades","BGD",1969,42.36,,,,,"I","H","G","Urban",,"Bangladesh, SYB",,"nn",
"nn","Banglades","BGD",1977,36.61,,,,,"I","H","G","Urban",,"Bangladesh, SYB",,"nn",
"accept","Barbados","BRB",1951,45.49,0.0428,0.1178,0.2491,0.4669,"I","H","G","Nat'l",,"Straw 1953","HSS","good",
"accept","Barbados","BRB",1979,48.86,0.0225,0.1025,0.25,0.49,"I","H","G","Nat'l",,"Downes 1987","HBS","good",
"ps","Barbados","BRB",1951,45.6,,,,,"I","H","G","Nat'l",,"Cromwell 1977",,"ps",
"ps","Barbados","BRB",1952,45,0.036,0.129,0.271,0.484,"I","P","G","Nat'l",,"Paukert 1973",,"ps","PT"
"ps","Barbados","BRB",1970,36.9,,,,,"I","P",,"Nat'l",,"Jain 1975",,"ps","ARL"
"tax","Barbados","BRB",1951,31.8,,,,,"I","P",,"Nat'l","Tax","Holder and Prescod 1989","BDIR","tax",
"tax","Barbados","BRB",1953,34,,,,,"I","P",,"Nat'l",,"Holder and Prescod 1989","BDIR","tax",
"tax","Barbados","BRB",1954,34.1,,,,,"I","P",,"Nat'l",,"Holder and Prescod 1989","BDIR","tax",
"tax","Barbados","BRB",1955,31.1,,,,,"I","P",,"Nat'l",,"Holder and Prescod 1989","BDIR","tax",
"tax","Barbados","BRB",1957,33.5,,,,,"I","P",,"Nat'l",,"Holder and Prescod 1989","BDIR","tax",
"tax","Barbados","BRB",1958,34.4,,,,,"I","P",,"Nat'l",,"Holder and Prescod 1989","BDIR","tax",
"tax","Barbados","BRB",1959,35.3,,,,,"I","P",,"Nat'l",,"Holder and Prescod 1989","BDIR","tax",
"tax","Barbados","BRB",1960,37.2,,,,,"I","P",,"Nat'l",,"Holder and Prescod 1989","BDIR","tax",
"tax","Barbados","BRB",1961,35.7,,,,,"I","P",,"Nat'l",,"Holder and Prescod 1989","BDIR","tax",
"tax","Barbados","BRB",1962,36.2,,,,,"I","P",,"Nat'l",,"Holder and Prescod 1989","BDIR","tax",
"tax","Barbados","BRB",1971,36.2,,,,,"I","P",,"Nat'l",,"Holder and Prescod 1989","BDIR","tax",
"tax","Barbados","BRB",1972,34.3,,,,,"I","P",,"Nat'l",,"Holder and Prescod 1989","BDIR","tax",
"tax","Barbados","BRB",1973,32.9,,,,,"I","P",,"Nat'l",,"Holder and Prescod 1989","BDIR","tax",
"tax","Barbados","BRB",1976,33.2,,,,,"I","P",,"Nat'l",,"Holder and Prescod 1989","BDIR","tax",
"tax","Barbados","BRB",1978,33.4,,,,,"I","P",,"Nat'l",,"Holder and Prescod 1989","BDIR","tax",
"tax","Barbados","BRB",1980,33.2,,,,,"I","P",,"Nat'l",,"Holder and Prescod 1989","BDIR","tax",
"tax","Barbados","BRB",1981,31.1,,,,,"I","P",,"Nat'l",,"Holder and Prescod 1989","BDIR","tax",
"wg","Barbados","BRB",1970,42.64,,,,,"I","P",,"Nat'l","EAP","Jain 1975",,"wg",
"accept","Belarus","BRS",1995,28.526,0.08681487,0.2238362,0.4006109,0.6271454,"I","P","G","Nat'l",,"Milanovic and Ying 1996",,"good",
"accept","Belgium","BEL",1979,28.25,0.079,0.216,0.402,0.639,"I","H","N","Nat'l",,"UN 1985","EBM","good",
"accept","Belgium","BEL",1985,26.2221,0.086,0.2291,0.416,0.6526,"I","H","N","Nat'l",,"LIS Data base",,"good",
"accept","Belgium","BEL",1988,26.6342,0.0848,0.227,0.4137,0.6492,"I","H","N","Nat'l",,"LIS Data base",,"cs",
"accept","Belgium","BEL",1992,26.917,0.0813,0.2237,0.4117,0.6497,"I","H","N","Nat'l",,"LIS Data base",,"good",
"cs","Belgium","BEL",1985,22.5,,,,,"I","Pe","N","Nat'l",,"Atkinson et al. 1995",,"cs",
"cs","Belgium","BEL",1985,26.2221,0.086,0.2291,0.416,0.6526,"I","H","G","Nat'l",,"LIS Data base",,"cs",
"cs","Belgium","BEL",1985,22.9595,0.103,0.2514,0.4389,0.6693,"I","Pe","G","Nat'l",,"LIS Data base",,"cs",
"cs","Belgium","BEL",1985,22.9595,0.103,0.2514,0.4389,0.6693,"I","Pe","N","Nat'l",,"LIS Data base",,"cs",
"cs","Belgium","BEL",1988,23.4,,,,,"I","Pe","N","Nat'l",,"Atkinson et al. 1995",,"cs",
"cs","Belgium","BEL",1988,26.6342,0.0848,0.227,0.4137,0.6492,"I","H","G","Nat'l",,"LIS Data base",,"cs",
"cs","Belgium","BEL",1988,23.5379,0.1016,0.2496,0.4353,0.6642,"I","Pe","G","Nat'l",,"LIS Data base",,"cs",
"cs","Belgium","BEL",1988,23.5379,0.1016,0.2496,0.4353,0.6642,"I","Pe","N","Nat'l",,"LIS Data base",,"cs",
"cs","Belgium","BEL",1992,23.7,,,,,"I","Pe","N","Nat'l",,"Atkinson et al. 1995",,"cs",
"cs","Belgium","BEL",1992,31.9455,0.0646,0.1912,0.3733,0.6181,"I","H","G","Nat'l",,"LIS Data base",,"cs",
"cs","Belgium","BEL",1992,29.2408,0.0783,0.2098,0.3911,0.6328,"I","Pe","G","Nat'l",,"LIS Data base",,"cs",
"cs","Belgium","BEL",1992,23.0358,0.1004,0.2496,0.4382,0.6718,"I","Pe","N","Nat'l",,"LIS Data base",,"cs",
"tax","Belgium","BEL",1969,36.37,,,,,"I","H","G","Nat'l","Tax","UN 1981",,"tax",
"tax","Belgium","BEL",1969,32.269,,,,,"I","H","N","Nat'l","Tax","UN 1981",,"tax",
"tax","Belgium","BEL",1973,43.753,,,,,"I","H","G","Nat'l","Tax","UN 1981",,"tax",
"tax","Belgium","BEL",1975,41.87,,,,,"I","H","G","Nat'l","Tax","UN 1981",,"tax",
"tax","Belgium","BEL",1976,41.633,,,,,"I","H","G","Nat'l","Tax","UN 1981",,"tax",
"tax","Belgium","BEL",1977,40.559,,,,,"I","H","G","Nat'l","Tax","UN 1981",,"tax",
"accept","Bolivia","BOL",1990,42.04,0.0562,0.1528,0.2981,0.5177,"E","P","N","Nat'l",,"WDR 1996","HBS","good",
"nn","Bolivia","BOL",1986,51.57,,,,,"I","H",,"Urban","Cities","Psacharopoulos et a. 1992","BEPH, 86","nn",
"nn","Bolivia","BOL",1989,52.45,,,,,"I","P",,"Urban","Cities","Psacharopoulos et a. 1992","BEPH, 89","nn",
"ps","Bolivia","BOL",1968,46.2,,,,,"I","H",,"Nat'l",,"Cromwell 1977","Adelman and Morris 1972","ps",
"ps","Bolivia","BOL",1968,53,0.035,0.115,0.235,0.39,"I","P","G","Nat'l",,"Paukert 1973",,"ps","PT"
"accept","Botswana","BWA",1986,54.21,0.036,0.1048,0.219,0.4111,"E","H","N","Nat'l",,"Chen et al. 1995","HIES","good",
"cs","Botswana","BWA",1986,56,,,,,"I","H",,"Nat'l",,"Valentine 1993",,"nn",
"nn","Botswana","BWA",1975,52,,,,,"I","H",,"Rural",,"Valentine 1993",,"nn",
"nn","Botswana","BWA",1986,48,,,,,"I","P",,"Rural",,"Valentine 1993",,"nn",
"wg","Botswana","BWA",1971,57.4,,,,,"I","P",,"Nat'l","EAP","Jain 1975",,"wg","ARH"
"accept","Brazil","BRA",1960,53,0.032,0.101,0.21,0.401,"I","H","G","Nat'l",,"Fields 1989",,"good","ARH"
"accept","Brazil","BRA",1970,57.61,0.032,0.095,0.193,0.383,"I","H","G","Nat'l",,"Brazil, AEB",,"good",
"accept","Brazil","BRA",1972,61,0.02,0.07,0.164,0.334,"I","P","G","Nat'l",,"Fields 1989","CEALC","good","ARH"
"accept","Brazil","BRA",1974,55.34,0.029,0.09,0.193,0.373,"E","H","N","Nat'l",,"CEPAL 1984",,"good",
"accept","Brazil","BRA",1976,60.29,0.022,0.074,0.164,0.316,"I","H","G","Nat'l",,"Fields 1989","CEALC","good",
"accept","Brazil","BRA",1978,56,0.025,0.084,0.193,0.382,"I","P","G","Nat'l",,"Fields 1989","CEALC","good",
"accept","Brazil","BRA",1979,59.44,0.026,0.083,0.182,0.36,"I","P","G","Nat'l",,"Psacharopoulos et a. 1992","BPNAD, 79","good",
"accept","Brazil","BRA",1980,57.78,0.029,0.088,0.192,0.384,"I","H","G","Nat'l",,"Brazil, AEB",,"good",
"accept","Brazil","BRA",1981,55.42,0.031,0.095,0.209,0.407,"I","H","G","Nat'l",,"Brazil, AEB",,"good",
"accept","Brazil","BRA",1982,54.19,0.0377,0.1033,0.2376,0.4259,"I","H","G","Nat'l",,"UN 1985",,"good",
"accept","Brazil","BRA",1983,57,0.024,0.081,0.188,0.374,"I","P","G","Nat'l",,"Fields 1989","CEALC","good",
"accept","Brazil","BRA",1985,61.76,0.029,0.0796,0.18,0.3551,"I","P","G","Nat'l",,"Brazil, AEB",,"good",
"accept","Brazil","BRA",1986,54.52,0.031,0.092,0.202,0.394,"I","H","G","Nat'l",,"Brazil, AEB",,"good",
"accept","Brazil","BRA",1987,56.18,0.027,0.084,0.19,0.38,"I","H","G","Nat'l",,"Brazil, AEB",,"good",
"accept","Brazil","BRA",1989,59.6,0.0248,0.074,0.1655,0.3482,"I","P","G","Nat'l",,"Brazil, AEB",,"good",
"cov","Brazil","BRA",1970,59,,,,,"I","H","G","Nat'l","Monetary","Fields 1989","CEALC","cov",
"cs","Brazil","BRA",1960,58.96,,,,,"I","P",,"Nat'l",,"Jain 1975","UN-ECLA 1970","cs",
"cs","Brazil","BRA",1960,54,0.035,0.125,0.227,0.385,"I","P","G","Nat'l",,"Paukert 1973",,"cs","PT"
"cs","Brazil","BRA",1970,57.44,,,,,"I","H",,"Nat'l",,"Jain 1975","Langoni 1973","cs",
"cs","Brazil","BRA",1970,60.93,,,,,"I","P",,"Nat'l",,"Jain 1975",,"cs",
"cs","Brazil","BRA",1970,50,,,,,"I","H",,"Nat'l",,"Lecaillon et al. 1984",,"cs",
"cs","Brazil","BRA",1974,55.334,,,,,"E","H",,"Nat'l",,"CEPAL 1984",,"cs",
"cs","Brazil","BRA",1976,60,,,,,"I","H","G","Nat'l",,"Fields 1989","CEALC","cs",
"cs","Brazil","BRA",1980,56,,,,,"I","H","G","Nat'l",,"Fields 1989","CEALC","cs",
"cs","Brazil","BRA",1985,59.54,0.026,0.082,0.182,0.364,"I","P",,"Nat'l",,"Chen et al. 1995",,"cs",
"cs","Brazil","BRA",1989,63.42,0.021,0.07,0.159,0.327,"I","P","G","Nat'l",,"WDR 1996",,"cs",
"nn","Brazil","BRA",1958,49.1,,,,,"I","P",,"Nat'l","EAP","Cromwell 1977","Adelman and Morris 1972","nn",
"nn","Brazil","BRA",1960,50.46,,,,,"I","P",,"Nat'l","EAP","Jain 1975","Langoni 1973","nn",
"nn","Brazil","BRA",1960,60.38,,,,,"I","P",,"Nat'l","EAP","Jain 1975",,"nn",
"nn","Brazil","BRA",1960,65.44,,,,,"I","P",,"Nat'l","EAP","Jain 1975",,"nn",
"nn","Brazil","BRA",1960,47.43,,,,,"I","P",,"Rural","EAP","Jain 1975","Cline 1972","nn",
"nn","Brazil","BRA",1960,43.02,,,,,"I","P",,"Rural","EAP","Jain 1975","Langoni 1973","nn",
